Time_s,Coherence,SNR,Frequency_Hz
585.0,0.7055,1.4109,232.0
586.0,0.943,1.886,230.0
587.0,0.7485,1.4969,232.5
588.0,0.8224,1.6448,232.0
589.0,0.6999,1.3999,232.0
590.0,0.4664,0.9327,232.5
591.0,0.8796,1.7593,232.5
592.0,0.7803,1.5606,232.5
593.0,0.6039,1.2078,230.0
594.0,0.918,1.836,231.5
595.0,0.7086,1.4171,229.0
596.0,0.7573,1.5147,230.5
597.0,0.6525,1.3049,230.5
598.0,0.7989,1.5978,228.5
599.0,0.9022,1.8044,228.5
600.0,0.831,1.6621,230.5
601.0,0.8827,1.7653,230.5
602.0,0.7001,1.4002,231.0
603.0,0.9431,1.8863,229.5
604.0,0.875,1.75,228.5
605.0,0.9303,1.8605,228.5
606.0,0.5978,1.1957,232.0
607.0,0.8274,1.6549,228.0
608.0,0.8432,1.6864,230.0
609.0,0.7256,1.4512,228.5
610.0,0.5162,1.0324,229.0
611.0,0.899,1.798,232.5
612.0,0.7506,1.5012,227.5
613.0,0.7891,1.5781,232.5
614.0,0.8671,1.7342,227.5
615.0,0.7424,1.4849,231.0
616.0,0.7442,1.4885,231.0
617.0,0.8044,1.6087,231.0
618.0,0.6879,1.3758,228.0
619.0,0.5759,1.1517,232.0
620.0,0.8926,1.7852,230.5
621.0,0.8482,1.6964,230.5
622.0,0.6914,1.3828,231.0
623.0,0.6011,1.2022,232.5
624.0,0.9253,1.8506,228.5
625.0,0.9544,1.9089,228.5
626.0,0.8465,1.693,228.5
627.0,0.7875,1.5751,227.5
628.0,0.651,1.302,229.0
629.0,0.6661,1.3322,230.5
630.0,0.7757,1.5514,231.0
631.0,0.6609,1.3218,232.0
632.0,0.8284,1.6568,230.0
633.0,0.9677,1.9354,231.5
634.0,0.5155,1.0311,227.5
635.0,0.4688,0.9375,230.0
636.0,0.7126,1.4252,228.5
637.0,0.6427,1.2854,230.0
638.0,0.4654,0.9309,229.0
639.0,0.8005,1.6009,232.5
640.0,0.8223,1.6446,231.0
641.0,0.5728,1.1456,227.5
642.0,0.7213,1.4426,229.5
643.0,0.947,1.894,231.0
644.0,0.8998,1.7996,231.0
645.0,0.7755,1.551,230.5
646.0,0.7013,1.4026,230.0
647.0,0.7963,1.5925,232.0
648.0,0.8765,1.753,227.5
649.0,0.591,1.182,231.0
650.0,0.653,1.306,230.0
651.0,0.7679,1.5358,230.0
652.0,0.7065,1.4129,230.0
653.0,0.8837,1.7674,230.0
654.0,0.7218,1.4435,232.0
655.0,0.6563,1.3127,232.0
656.0,0.9001,1.8001,230.5
657.0,0.5724,1.1448,227.5
658.0,0.7839,1.5678,228.5
659.0,0.7043,1.4086,231.0
660.0,0.7072,1.4144,229.5
661.0,0.854,1.7079,228.0
662.0,0.7228,1.4457,231.0
663.0,0.546,1.092,228.5
664.0,0.8788,1.7575,228.0
665.0,0.6945,1.389,227.5
666.0,0.5399,1.0799,230.5
667.0,0.6719,1.3438,230.5
668.0,0.6863,1.3726,231.0
669.0,0.7366,1.4731,230.5
670.0,0.6533,1.3066,227.5
671.0,0.8238,1.6476,229.5
672.0,0.6564,1.3129,230.0
673.0,0.5023,1.0046,230.5
674.0,0.4273,0.8545,230.5
675.0,0.8668,1.7337,228.5
676.0,0.7638,1.5276,230.0
677.0,0.6123,1.2246,232.5
678.0,0.7516,1.5032,230.0
679.0,0.378,0.756,230.0
680.0,0.9036,1.8072,230.0
681.0,0.7359,1.4718,230.0
682.0,0.9851,1.9701,229.5
683.0,0.7573,1.5145,229.5
684.0,0.5699,1.1398,230.0
685.0,0.6807,1.3615,227.5
686.0,0.9041,1.8082,228.5
687.0,0.5657,1.1314,229.0
688.0,0.8734,1.7467,229.5
689.0,0.9017,1.8035,232.5
690.0,0.9309,1.8618,232.5
691.0,0.9876,1.9751,232.5
692.0,0.6657,1.3313,232.5
693.0,0.7025,1.4049,232.0
694.0,0.7526,1.5052,232.0
695.0,0.8662,1.7324,232.5
696.0,0.519,1.038,229.5
697.0,0.6575,1.3151,230.5
698.0,0.8863,1.7726,231.0
699.0,0.7003,1.4006,230.5
700.0,0.6063,1.2126,230.0
701.0,0.8029,1.6059,231.0
702.0,0.9589,1.9179,229.5
703.0,0.684,1.3681,232.0
704.0,0.7207,1.4414,230.0
705.0,0.6975,1.3951,230.0
706.0,0.5642,1.1283,230.5
707.0,0.8007,1.6015,228.5
708.0,0.8221,1.6441,232.0
709.0,0.8977,1.7955,232.0
710.0,0.7002,1.4004,232.5
711.0,0.9299,1.8599,230.0
712.0,0.8269,1.6538,231.0
713.0,0.5926,1.1852,229.5
714.0,0.8818,1.7636,232.5
715.0,0.8419,1.6837,230.5
716.0,0.884,1.768,230.5
717.0,0.4582,0.9164,230.0
718.0,0.3908,0.7816,229.0
719.0,0.4519,0.9039,230.0
720.0,0.7751,1.5502,229.5
721.0,0.5297,1.0595,231.0
722.0,0.9475,1.895,232.5
723.0,0.5939,1.1878,231.0
724.0,0.8378,1.6756,229.5
725.0,0.8076,1.6152,229.5
726.0,0.7013,1.4025,229.0
727.0,0.647,1.2941,229.0
728.0,0.4303,0.8605,229.5
729.0,0.6155,1.2309,229.5
730.0,0.8889,1.7779,231.0
731.0,0.6684,1.3368,232.5
732.0,0.914,1.8281,232.5
733.0,0.8125,1.625,228.5
734.0,0.3551,0.7102,230.5
735.0,0.6373,1.2745,228.5
736.0,0.7695,1.5389,230.0
737.0,0.5528,1.1056,230.0
738.0,0.651,1.3021,230.0
739.0,0.9038,1.8076,228.0
740.0,0.7221,1.4442,232.5
741.0,0.8522,1.7045,228.5
742.0,0.82,1.6399,228.5
743.0,0.9389,1.8777,231.0
744.0,0.7535,1.5071,230.5
745.0,0.9267,1.8534,232.5
746.0,0.7104,1.4207,232.0
747.0,0.8528,1.7056,232.0
748.0,0.8382,1.6763,231.0
749.0,0.4917,0.9834,231.0
750.0,0.7484,1.4969,230.5
751.0,0.5108,1.0215,231.5
752.0,0.5167,1.0334,232.0
753.0,0.5969,1.1938,232.5
754.0,0.736,1.472,232.5
755.0,0.834,1.6679,229.5
756.0,0.7482,1.4963,229.5
757.0,0.8211,1.6422,228.5
758.0,0.7672,1.5344,229.5
759.0,0.5834,1.1668,231.5
760.0,0.5644,1.1288,231.5
761.0,0.5747,1.1495,228.0
762.0,0.7316,1.4631,229.5
763.0,0.6168,1.2335,232.0
764.0,0.7854,1.5708,232.0
765.0,0.6606,1.3211,230.0
766.0,0.3802,0.7604,227.5
767.0,0.582,1.1639,227.5
768.0,0.6004,1.2009,229.0
769.0,0.5477,1.0954,231.0
770.0,0.8458,1.6916,231.0
771.0,0.8323,1.6646,231.0
772.0,0.7847,1.5695,229.5
773.0,0.8568,1.7137,229.0
774.0,0.594,1.188,231.5
775.0,0.6522,1.3045,231.0
776.0,0.4773,0.9547,232.5
777.0,0.7612,1.5223,231.5
778.0,0.721,1.442,232.0
779.0,0.881,1.762,229.5
780.0,0.8558,1.7116,229.5
